Title_1,Text_1,Title_2,Text_2,Gramma_chapter,Gramma_info,Особенность,Краткое объяснение,Пример,Alphabet_chapter,Alphabet_info,Буква,Название буквы,Основной звук / Примерное произношение,Примечания,Table_add_text
,,,,,,,,,,,Jj,Jott (йот),[й],"ja, Jacke",
,,,,,,,,,,,Kk,Ka (ка),[к],Kind,
,,,,,,,,,,,Ll,El (эль),[л] (мягче русского 'л'),lernen,
,,,,,,,,,,,Mm,Em (эм),[м],Mutter,
,,,,,,,,,,,Nn,En (эн),[н],Nase,
,,,,,,,,,,,Oo,O (о),[о] или [о:],"oft, Boot",
,,,,,,,,,,,Öö,Ö (ё),"[ё] (как в 'мёд', без 'й') или долгое [ё:]","öffnen, schön",
,,,,,,,,,,,Pp,Pe (пэ),[п],Papa,
,,,,,,,,,,,Qq,Qu (ку),[кв] (всегда идет с 'u': qu),Quelle,
,,,,,,,,,,,Rr,Er (эр),[р] (часто картавое или редуцированное до [ɐ] в конце),"rot, Lehrer",
,,,,,,,,,,,Ss,Es (эс),[з] (перед гласной в начале слова/слога); [с] (в других случаях); ss/ß = [с],"Sonne, Haus, Fuß",
,,,,,,,,,,,ß,Eszett (эс-цет),"[с] (всегда глухое, после долгих гласных/дифтонгов)","Straße, heiß",
,,,,,,,,,,,Tt,Te (тэ),[т],Tag,
,,,,,,,,,,,Uu,U (у),[у] или [у:],"und, gut",
,,,,,,,,,,,Üü,Ü (ю),"[ю] (как в 'люк', без 'й') или долгое [ю:]","fünf, Tür",
,,,,,,,,,,,Vv,Vau (фау),[ф] (в большинстве немецких слов); [в] (в некоторых заимствованиях),"Vater, Vase",
,,,,,,,,,,,Ww,We (вэ),[в],Wasser,
,,,,,,,,,,,Xx,Ix (икс),[кс],Taxi,
,,,,,,,,,,,Yy,Ypsilon (ипсилон),[ю] (в некоторых словах); [и] (в других); [й] (иногда),"Typ, System",
,,,,,,,,,,,Zz,Zett (цет),[ц],"Zeit, Zimmer",
