Слово/фраза,Транскрипция,Перевод,Категория,Частотность,Широкая категория
Schule,[ˈʃuːlə],школа,Школа (В классе),990,Учёба и работа
Seife,[ˈzaɪ̯fə],мыло,Ванная комната,980,Дом и быт
danke,[ˈdaŋ.kə],спасибо,Вежливость / Этикет,980,Приветствия и знакомства
lecker,[ˈlɛ.kɐ],вкусный,Вкус (Еда),980,Рестораны и кафе
Auge,[ˈaʊ̯ɡə],глаз,Внешность (Общее),980,Семья и люди
groß,[ɡʁoːs],"высокий, большой",Внешность (Общее),980,Семья и люди
wer,[veːɐ̯],кто,Вопросительные слова,980,Приветствия и знакомства
springen,[ˈʃpʁɪŋən],прыгать,Глаголы (Спорт),980,Основные глаголы
Tisch,[tɪʃ],стол,Гостиная,980,Дом и быт
Eis,[aɪs],мороженое,Десерты,980,Рестораны и кафе
Mittwoch,[ˈmɪt.vɔx],среда,Дни недели,980,Приветствия и знакомства
Eichhörnchen,[ˈaɪ̯çˌhœʁnçən],белка,Животные (Лесные),980,Хобби и повседневная жизнь
Fuchs,[fʊks],лиса,Животные (Лесные),980,Хобби и повседневная жизнь
Wie geht es Ihnen?,[viː ˈɡeːt ɛs ˈiːnən],Как у Вас дела?,Как дела?,980,Приветствия и знакомства
er,[eːɐ̯],он,Местоимения,980,Приветствия и знакомства
sie,[ziː],она / они / Вы (вежл.),Местоимения,980,Приветствия и знакомства
Februar,[ˈfeːbʁu̯aɐ̯],февраль,Месяцы года,980,Приветствия и знакомства
Osten,[ˈɔstn̩],восток,Направления (стороны света),980,Путешествия и транспорт
Tomate,[toˈmaːtə],помидор,Овощи,980,Рестораны и кафе
Schuhe,[ˈʃuːə],обувь,Одежда,980,Покупки и магазины
berühren,[bəˈʁyːʁən],"касаться, трогать",Осязание,980,Дом и быт
Sonne,[ˈzɔnə],солнце,Погода,980,Путешествия и транспорт
Ich möchte ...,[ɪç ˈmœçtə],Я хотел(а) бы ...,Покупки,980,Покупки и магазины
Preis,[pʁaɪ̯s],цена,Покупки,980,Покупки и магазины
Geschäft,[ɡəˈʃɛft],магазин,Покупки (Места),980,Покупки и магазины
auf,[aʊ̯f],на (поверхности),Предлоги места,980,Путешествия и транспорт
heißen,[ˈhaɪ̯sn̩],называться,Представление себя,980,Приветствия и знакомства
Student,[ʃtuˈdɛnt],студент,Профессии,980,Учёба и работа
arbeiten als,[ˈaʁbaɪ̯tən als],работать кем-либо,Профессии,980,Учёба и работа
dann,[dan],затем,Связующие слова (Время и место),980,Путешествия и транспорт
Eltern,[ˈɛltɐn],родители,Семья (Ближайшие родственники),980,Семья и люди
Bus,[bʊs],автобус,Транспорт,980,Путешествия и транспорт
Banane,[baˈnaː.nə],банан,Фрукты,980,Рестораны и кафе
Handtuch,[ˈhantˌtuːx],полотенце,Ванная комната,970,Дом и быт
duschen,[ˈdʊʃn̩],принимать душ,Ванная комната,970,Дом и быт
guten Tag,[ˈɡuː.tən ˈtaːk],добрый день,Вежливость / Этикет,970,Приветствия и знакомства
schmecken,[ˈʃmɛ.kən],"быть на вкус, пробовать на вкус",Вкус (Еда),970,Рестораны и кафе
Gesicht,[ɡəˈzɪçt],лицо,Внешность (Общее),970,Семья и люди
klein,[klaɪn],"маленький, низкий",Внешность (Общее),970,Семья и люди
wo,[voː],где,Вопросительные слова,970,Приветствия и знакомства
werden,[ˈveːɐ̯dn̩],становиться,Глаголы действия,970,Основные глаголы
Süßigkeit,[ˈzyːsɪçkaɪt],"сладость, конфета",Десерты,970,Рестораны и кафе
Donnerstag,[ˈdɔnɐs.taːk],четверг,Дни недели,970,Приветствия и знакомства
Hirsch,[hɪʁʃ],олень,Животные (Лесные),970,Хобби и повседневная жизнь
Schmerzen haben,[ˈʃmɛʁtsn̩ ˈhaːbn̩],испытывать боль,Здоровье (Симптомы),970,Здоровье и самочувствие
zeichnen,[ˈtsaɪ̯çnən],"чертить, рисовать (карандашом)",Искусство и ремесла,970,Хобби и повседневная жизнь
Wie geht es dir?,[viː ˈɡeːt ɛs diːɐ̯],Как у тебя дела?,Как дела?,970,Приветствия и знакомства
es,[ɛs],оно,Местоимения,970,Приветствия и знакомства
wir,[viːɐ̯],мы,Местоимения,970,Приветствия и знакомства
März,[mɛʁt͡s],март,Месяцы года,970,Приветствия и знакомства
Westen,[ˈvɛstn̩],запад,Направления (стороны света),970,Путешествия и транспорт
Gurke,[ˈɡʊʁkə],огурец,Овощи,970,Рестораны и кафе
tragen,[ˈtʁaːɡn̩],носить (одежду),Одежда,970,Покупки и магазины
Regen,[ˈʁeːɡn̩],дождь,Погода,970,Путешествия и транспорт
Kasse,[ˈkasə],касса,Покупки,970,Покупки и магазины
unter,[ˈʊntɐ],под,Предлоги места,970,Путешествия и транспорт
mein Name,[maɪ̯n ˈnaːmə],моё имя,Представление себя,970,Приветствия и знакомства
Ingenieur,[ɪnʒeˈnjøːɐ̯],инженер,Профессии,970,Учёба и работа
Bahn,[baːn],поезд,Транспорт,970,Путешествия и транспорт
Birne,[ˈbɪʁ.nə],груша,Фрукты,970,Рестораны и кафе
blau,[blaʊ],"синий, голубой",Цвета,970,Дом и быт
Lehrerin,[ˈleːʁəʁɪn],учительница,Школа (В классе),970,Учёба и работа
Dusche,[ˈdʊʃə],душ,Ванная комната,960,Дом и быт
alt,[alt],старый,Внешность (Общее),960,Семья и люди
jung,[jʊŋ],молодой,Внешность (Общее),960,Семья и люди
wann,[van],когда,Вопросительные слова,960,Приветствия и знакомства
schießen,[ˈʃiːsən],"бить (по мячу), стрелять",Глаголы (Спорт),960,Основные глаголы
Torte,[ˈtɔʁtə],торт,Десерты,960,Рестораны и кафе
Freitag,[ˈfʁaɪ.taːk],пятница,Дни недели,960,Приветствия и знакомства
Brot,[bʁoːt],хлеб,Еда и напитки,960,Рестораны и кафе
Ich fühle mich schlecht,[ɪç ˈfyːlə mɪç ʃlɛçt],я плохо себя чувствую,Здоровье (Симптомы),960,Здоровье и самочувствие
ihr,[iːɐ̯],"вы (множественное число, неформально)",Местоимения,960,Приветствия и знакомства
April,[aˈpʁɪl],апрель,Месяцы года,960,Приветствия и знакомства
Zwiebel,[ˈtsviːbl̩],лук,Овощи,960,Рестораны и кафе
Schnee,[ʃneː],снег,Погода,960,Путешествия и транспорт
Einkaufszentrum,[ˈaɪ̯nkaʊfsˌt͡sɛntrʊm],торговый центр,Покупки (Места),960,Покупки и магазины
Koch,[kɔx],повар,Профессии,960,Учёба и работа
Orange,[oˈʁãːʒə],апельсин,Фрукты,960,Рестораны и кафе
grün,[ɡʁyːn],зелёный,Цвета,960,Дом и быт
Ohr,[oːɐ̯],ухо,Части тела,960,Здоровье и самочувствие
vier,[fiːɐ̯],четыре,Числа,960,Покупки и магазины
Schüler,[ˈʃyːlɐ],ученик,Школа (В классе),960,Учёба и работа
Firma,[ˈfɪʁ.ma],"фирма, компания",Бизнес / Работа,950,Учёба и работа
Badewanne,[ˈbaːdəˌvanə],ванна,Ванная комната,950,Дом и быт
Shampoo,[ˈʃamˌpuː],шампунь,Ванная комната,950,Дом и быт
Toilettenpapier,[to̯aˈlɛtn̩paˌpiːɐ̯],туалетная бумага,Ванная комната,950,Дом и быт
putzen,[ˈpʊtsn̩],"чистить (например, зубы)",Ванная комната,950,Дом и быт
reinigen,[ˈʁaɪ̯nɪɡn̩],чистить,Ванная комната,950,Дом и быт
sauber,[ˈzaʊ̯bɐ],чистый,Ванная комната,950,Дом и быт
Zähne putzen,[ˈtsɛːnə ˈpʊtsn̩],чистить зубы,Ванная комната (Глаголы),950,Основные глаголы
auf Wiedersehen,[aʊ̯f ˈviː.dɐˌzeː.ən],до свидания,Вежливость / Этикет,950,Приветствия и знакомства
entschuldigung,[ɛntˈʃʊl.dɪ.gʊŋ],извините,Вежливость / Этикет,950,Приветствия и знакомства
guten Morgen,[ˈɡuː.tən ˈmɔʁ.ɡn̩],доброе утро,Вежливость / Этикет,950,Приветствия и знакомства
süß,[zyːs],сладкий,Вкус (Еда),950,Рестораны и кафе
lang,[laŋ],длинный,Внешность (Волосы),950,Семья и люди
Aussehen,[ˈaʊsˌzeːən],внешность,Внешность (Общее),950,Семья и люди
hübsch,[hʏpʃ],симпатичный,Внешность (Общее),950,Семья и люди
Wie groß?,[viː ɡʁoːs],Какой рост? / Насколько большой?,Внешность (Размер / Рост),950,Семья и люди
Wie viel?,[viː ˈfiːl],Сколько?,Внешность (Размер / Рост),950,Семья и люди
Er ist ... Jahre alt.,[eːɐ̯ ɪst ... ˈjaːʁə alt],Ему ... лет.,Возраст,950,Приветствия и знакомства
Jahr,[jaːɐ̯],год,Возраст,950,Приветствия и знакомства
Kind,[kɪnt],ребёнок,Возраст,950,Приветствия и знакомства
Sie ist ... Jahre alt.,[ziː ɪst ... ˈjaːʁə alt],Ей ... лет.,Возраст,950,Приветствия и знакомства
warum,[vaˈʁʊm],почему,Вопросительные слова,950,Приветствия и знакомства
wieviel,[ˈviːˌfiːl],сколько,Вопросительные слова,950,Приветствия и знакомства
Sommer,[ˈzɔmɐ],лето,Времена года,950,Путешествия и транспорт
Winter,[ˈvɪntɐ],зима,Времена года,950,Путешествия и транспорт
Stunde,[ˈʃtʊndə],час,Время (Другое),950,Приветствия и знакомства
Woche,[ˈvɔxə],неделя,Время (Другое),950,Приветствия и знакомства
bald,[balt],скоро,Время (Другое),950,Приветствия и знакомства
gleich,[ɡlaɪ̯ç],"сейчас же, вскоре",Время (Другое),950,Приветствия и знакомства
manchmal,[ˈmançmaːl],иногда,Время (Другое),950,Приветствия и знакомства
später,[ˈʃpɛːtɐ],позже,Время (Другое),950,Приветствия и знакомства
liegen,[ˈliːɡn̩],"лежать, находиться (о предмете)",Глаголы (Местоположение),950,Основные глаголы
schneien,[ˈʃnaɪ̯ən],идти (о снеге),Глаголы (Погода),950,Основные глаголы
helfen,[ˈhɛlfn̩],помогать,Глаголы (Семья),950,Основные глаголы
werfen,[ˈvɛʁfən],бросать,Глаголы (Спорт),950,Основные глаголы
können,[ˈkœnən],"мочь, уметь",Глаголы действия,950,Основные глаголы
Keks,[keːks],печенье,Десерты,950,Рестораны и кафе
Samstag,[ˈzamstaːk],суббота,Дни недели,950,Приветствия и знакомства
Wohnung,[ˈvoː.nʊŋ],квартира,Дом,950,Дом и быт
gemütlich,[ɡəˈmyːtlɪç],уютный,Дом (Описание),950,Дом и быт
Milch,[mɪlç],молоко,Еда и напитки,950,Рестораны и кафе
Tier,[tiːɐ̯],животное,Животные (Домашние/Ферма),950,Хобби и повседневная жизнь
Hase,[ˈhaːzə],заяц,Животные (Лесные),950,Хобби и повседневная жизнь
Reh,[ʁeː],косуля,Животные (Лесные),950,Хобби и повседневная жизнь
Wolf,[vɔlf],волк,Животные (Лесные),950,Хобби и повседневная жизнь
Krabbe,[ˈkʁabə],краб,Животные (Морские),950,Хобби и повседневная жизнь
Musik,[muˈziːk],музыка,Звук,950,Дом и быт
laut,[laʊ̯t],громкий,Звук,950,Дом и быт
leise,[ˈlaɪ̯zə],тихий,Звук,950,Дом и быт
Arzt,[aːɐ̯t͡st],врач,Здоровье,950,Здоровье и самочувствие
Ich bin krank,[ɪç bɪn kʁaŋk],Я болен,Здоровье (Болезни),950,Здоровье и самочувствие
Schmerzen,[ˈʃmɛʁ.tsn̩],боль,Здоровье (Болезни),950,Здоровье и самочувствие
Was fehlt dir?,[vas feːlt diːɐ̯],Что с тобой? (Что болит?),Здоровье (Болезни),950,Здоровье и самочувствие
Praxis,[ˈpʁaksɪs],поликлиника / кабинет врача,Здоровье (Места),950,Здоровье и самочувствие
Hilfe,[ˈhɪlfə],помощь,Здоровье (Профессии),950,Здоровье и самочувствие
Ärztin,[ˈɛːɐ̯t͡stɪn],врач (женщина),Здоровье (Профессии),950,Здоровье и самочувствие
Kopfschmerz,[ˈkɔpfˌʃmɛʁts],головная боль,Здоровье (Симптомы),950,Здоровье и самочувствие
Notruf,[ˈnoːtˌʁuːf],экстренный вызов,Здоровье (Службы),950,Здоровье и самочувствие
bluten,[ˈbluːtn̩],кровоточить,Здоровье (Травмы),950,Здоровье и самочувствие
basteln,[ˈbastl̩n],"мастерить, заниматься поделками",Искусство и ремесла,950,Хобби и повседневная жизнь
gut,[ɡuːt],Хорошо,Как дела?,950,Приветствия и знакомства
braten,[ˈbʁaː.tn̩],жарить,Кухня (Глаголы),950,Основные глаголы
mein,[maɪn],мой,Местоимения,950,Приветствия и знакомства
da,[daː],там / тут,Местоположение (Здесь и там),950,Путешествия и транспорт
Mai,[maɪ̯],май,Месяцы года,950,Приветствия и знакомства
Rind,[ʁɪnt],говядина,Мясо,950,Рестораны и кафе
nach,[naːx],в (направление),Направления (стороны света),950,Путешествия и транспорт
Karotte,[kaˈʁɔtə],морковь,Овощи,950,Рестораны и кафе
Anziehen,[ˈant͡siːən],надевать,Одежда,950,Покупки и магазины
Hose,[ˈhoːzə],брюки,Одежда,950,Покупки и магазины
Jacke,[ˈjakə],куртка,Одежда,950,Покупки и магазины
nah,[naː],близко,Описание (Расстояние),950,Дом и быт
anfassen,[ˈanˌfasən],"трогать, дотрагиваться",Осязание,950,Дом и быт
Wind,[vɪnt],ветер,Погода,950,Путешествия и транспорт
Alles Gute,[ˈaləs ˈɡuːtə],Всего хорошего,Поздравления / Праздники,950,Приветствия и знакомства
Haben Sie ...?,[ˈhaːbn̩ ziː],У вас есть ...?,Покупки,950,Покупки и магазины
Verkäufer,[fɛɐ̯ˈkɔɪ̯fɐ],продавец,Покупки,950,Покупки и магазины
verkaufen,[fɛɐ̯ˈkaʊ̯fn̩],продавать,Покупки,950,Покупки и магазины
Kunde,[ˈkʊndə],"покупатель, клиент",Покупки (Люди),950,Покупки и магазины
Bäckerei,[ˌbɛkəˈʁaɪ],пекарня,Покупки (Места),950,Покупки и магазины
über,[ˈyːbɐ],над,Предлоги места,950,Путешествия и транспорт
hi,[haɪ],привет (неформально),Приветствия,950,Приветствия и знакомства
Frühstück,[ˈfʁyːʃtʏk],завтрак,Приемы пищи,950,Рестораны и кафе
Was sind Sie von Beruf?,[vas zɪnt ziː fɔn bəˈʁuːf],Кто вы по профессии?,Профессии,950,Учёба и работа
bis bald,[bɪs ˈbalt],до скорого,Прощание,950,Приветствия и знакомства
Koffer,[ˈkɔfɐ],чемодан,Путешествия,950,Путешествия и транспорт
Rezeptionist,[ʁɛ.t͡sɛp.tsi.oˈnɪst],администратор (на ресепшене),Путешествия (Персонал),950,Путешествия и транспорт
zuerst,[tsuˈeːɐ̯st],сначала,Связующие слова (Время и место),950,Путешествия и транспорт
außerdem,[ˈaʊ̯sɐˌdeːm],"кроме того, вдобавок",Связующие слова (Добавление),950,Путешествия и транспорт
doch,[dɔx],"однако, всё же",Связующие слова (Сравнение/Контраст),950,Путешествия и транспорт
Mama,[maˈmaː],мама,Семья (Ближайшие родственники),950,Семья и люди
Papa,[paˈpaː],папа,Семья (Ближайшие родственники),950,Семья и люди
Onkel,[ˈɔŋkl̩],дядя,Семья (Дальние родственники),950,Семья и люди
Tante,[ˈtantə],тётя,Семья (Дальние родственники),950,Семья и люди
Kissen,[ˈkɪsən],подушка,Спальня,950,Дом и быт
Fußball,[ˈfuːsˌbal],футбол,Спорт,950,Хобби и повседневная жизнь
Spiel,[ʃpiːl],игра,Спорт,950,Хобби и повседневная жизнь
Fahrrad,[ˈfaːɐ̯ˌʁaːt],велосипед,Транспорт,950,Путешествия и транспорт
Taxifahrer,[ˈtaksiˌfaːʁɐ],таксист,Транспорт (Персонал),950,Путешествия и транспорт
Traube,[ˈtʁaʊ̯.bə],виноград,Фрукты,950,Рестораны и кафе
gelb,[ɡɛlp],жёлтый,Цвета,950,Дом и быт
Mund,[mʊnt],рот,Части тела,950,Здоровье и самочувствие
fünf,[fʏnf],пять,Числа,950,Покупки и магазины
Schülerin,[ˈʃyːləʁɪn],ученица,Школа (В классе),950,Учёба и работа
Klassenzimmer,[ˈklasənˌtsɪmɐ],классная комната,Школа (Места),950,Учёба и работа
Spiegel,[ˈʃpiːɡl̩],зеркало,Ванная комната,940,Дом и быт
kochen,[ˈkɔxən],готовить (еду),Ванная комната / Кухня,940,Дом и быт
kurz,[kʊʁt͡s],короткий,Внешность (Волосы),940,Семья и люди
hässlich,[ˈhɛslɪç],"некрасивый, уродливый",Внешность (Общее),940,Семья и люди
wie viel,[viː ˈfiːl],сколько (количество),Вопросительные слова,940,Приветствия и знакомства
stehen,[ˈʃteːən],"стоять, находиться (вертикально)",Глаголы (Местоположение),940,Основные глаголы
fangen,[ˈfaŋən],ловить,Глаголы (Спорт),940,Основные глаголы
machen,[ˈmaxn̩],делать,Глаголы действия,940,Основные глаголы
Fenster,[ˈfɛn.stɐ],окно,Гостиная,940,Дом и быт
Pudding,[ˈpʊdɪŋ],пудинг,Десерты,940,Рестораны и кафе
Zucker,[ˈtsʊkɐ],сахар,Десерты,940,Рестораны и кафе
Sonntag,[ˈzɔn.taːk],воскресенье,Дни недели,940,Приветствия и знакомства
Fleisch,[flaɪ̯ʃ],мясо,Еда и напитки,940,Рестораны и кафе
Igel,[ˈiːgəl],ёж,Животные (Лесные),940,Хобби и повседневная жизнь
Schnitt,[ʃnɪt],порез,Здоровье (Травмы),940,Здоровье и самочувствие
Sehr gut,[zeːɐ̯ ɡuːt],Очень хорошо,Как дела?,940,Приветствия и знакомства
dein,[daɪn],твой,Местоимения,940,Приветствия и знакомства
Juni,[ˈjuːni],июнь,Месяцы года,940,Приветствия и знакомства
Hemd,[hɛmt],рубашка,Одежда,940,Покупки и магазины
fern,[fɛrn],далеко,Описание (Расстояние),940,Дом и быт
Wolke,[ˈvɔlkə],облако,Погода,940,Путешествия и транспорт
neben,[ˈneːbn̩],"рядом с, возле",Предлоги места,940,Путешествия и транспорт
Mittagessen,[ˈmɪtaːkˌʔɛsn̩],обед,Приемы пищи,940,Рестораны и кафе
Polizist,[poliˈt͡sɪst],полицейский,Профессии,940,Учёба и работа
bis später,[bɪs ˈʃpɛːtɐ],до позже / увидимся позже,Прощание,940,Приветствия и знакомства
Sohn,[zoːn],сын,Семья (Ближайшие родственники),940,Семья и люди
Tochter,[ˈtɔxtɐ],дочь,Семья (Ближайшие родственники),940,Семья и люди
Fitnessstudio,[ˈfɪtnɛsˌʃtuːdi̯o],тренажёрный зал,Спорт,940,Хобби и повседневная жизнь
Flugzeug,[ˈfluːkˌtsɔʏ̯k],самолёт,Транспорт,940,Путешествия и транспорт
Erdbeere,[ˈeːɐ̯tˌbeːʁə],клубника,Фрукты,940,Рестораны и кафе
Zahn,[tsaːn],зуб,Части тела,940,Здоровье и самочувствие
sechs,[zɛks],шесть,Числа,940,Покупки и магазины
Tafel,[ˈtaːfl̩],доска (школьная),Школа (В классе),940,Учёба и работа
Chef,[ʃɛf],"начальник, шеф",Бизнес / Работа,930,Учёба и работа
Waschbecken,[ˈvaʃˌbɛkŋ̍],раковина,Ванная комната,930,Дом и быт
guten Abend,[ˈɡuː.tən ˈaː.bənt],добрый вечер,Вежливость / Этикет,930,Приветствия и знакомства
glatt,[ɡlat],прямой (о волосах),Внешность (Волосы),930,Семья и люди
welcher,[ˈvɛlçɐ],который / какой,Вопросительные слова,930,Приветствия и знакомства
trainieren,[tʁeˈniːʁən],тренироваться,Глаголы (Спорт),930,Основные глаголы
gehen,[ˈɡeːən],идти,Глаголы действия,930,Основные глаголы
Tür,[tyːɐ̯],дверь,Гостиная,930,Дом и быт
Bonbon,[ˈbɔnbɔn],"леденец, карамель",Десерты,930,Рестораны и кафе
neu,[nɔʏ̯],новый,Дом (Описание),930,Дом и быт
Gemüse,[ɡəˈmyːzə],овощи,Еда и напитки,930,Рестораны и кафе
Qualle,[ˈkvalə],медуза,Животные (Морские),930,Хобби и повседневная жизнь
Krankheit,[ˈkʁaŋk.haɪ̯t],болезнь,Здоровье,930,Здоровье и самочувствие
kleben,[ˈkleːbn̩],клеить,Искусство и ремесла,930,Хобби и повседневная жизнь
mischen,[ˈmɪ.ʃn̩],смешивать,Кухня (Глаголы),930,Основные глаголы
Juli,[ˈjuːli],июль,Месяцы года,930,Приветствия и знакомства
Paprika,[ˈpaːpʁika],перец (сладкий),Овощи,930,Рестораны и кафе
weit,[vaɪt],далёкий / широкий,Описание (Расстояние),930,Дом и быт
"ja, ich verstehe",[jaː ɪç fɛɐ̯ˈʃteːə],"да, я понимаю",Основы,930,Приветствия и знакомства
greifen,[ˈɡʁaɪ̯fən],"хватать, брать рукой",Осязание,930,Дом и быт
